"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20800","should open user detail page from users list","User Role Management","Mon Nov 03 09:09:34 IST 2025","broken","Mon Nov 03 09:09:55 IST 2025","","","",""
"","35","testUpdateUserRoles_UnknownUser_Returns400()","","Mon Nov 03 09:05:06 IST 2025","broken","Mon Nov 03 09:05:06 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateUserRoles_UnknownUser_Returns400"
"","144","updateUserRoles_NullAndBlankRoles_Ignored()","","Mon Nov 03 09:05:21 IST 2025","passed","Mon Nov 03 09:05:21 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_NullAndBlankRoles_Ignored"
"","3","testDeleteRole_Success()","","Mon Nov 03 09:05:10 IST 2025","broken","Mon Nov 03 09:05:10 IST 2025","","com.itcenter.auth.repository.RoleRepositoryTest","com.itcenter.auth.repository.RoleRepositoryTest","testDeleteRole_Success"
"","38","updateProfile_UpdatesDisplayName()","","Mon Nov 03 09:05:20 IST 2025","passed","Mon Nov 03 09:05:20 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateProfileTest","com.itcenter.auth.unit.UserServiceUpdateProfileTest","updateProfile_UpdatesDisplayName"
"","2","testFindByEmail_ReturnsEmpty_WhenNotExists()","","Mon Nov 03 09:05:10 IST 2025","broken","Mon Nov 03 09:05:10 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testFindByEmail_ReturnsEmpty_WhenNotExists"
"","116","updateUserRoles_NoChanges_StillLogsAudit()","","Mon Nov 03 09:05:21 IST 2025","passed","Mon Nov 03 09:05:21 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_NoChanges_StillLogsAudit"
"","126","updateUserRoles_NonexistentUser_ThrowsException()","","Mon Nov 03 09:05:21 IST 2025","passed","Mon Nov 03 09:05:21 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_NonexistentUser_ThrowsException"
"","54","testUpdateUserRoles_EmptyRolesList_Handled()","","Mon Nov 03 09:05:05 IST 2025","broken","Mon Nov 03 09:05:05 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateUserRoles_EmptyRolesList_Handled"
"","171","updateUserRoles_ReplaceAllRoles_Success()","","Mon Nov 03 09:05:21 IST 2025","passed","Mon Nov 03 09:05:22 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_ReplaceAllRoles_Success"
"","47","testUpdateUserRoles_RemoveRoles_Returns200()","","Mon Nov 03 09:05:05 IST 2025","broken","Mon Nov 03 09:05:05 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateUserRoles_RemoveRoles_Returns200"
"","2","testExistsByEmail_ReturnsTrue_WhenExists()","","Mon Nov 03 09:05:09 IST 2025","broken","Mon Nov 03 09:05:09 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testExistsByEmail_ReturnsTrue_WhenExists"
"","51","testUpdateUserRoles_WithoutAuth_Returns401()","","Mon Nov 03 09:05:05 IST 2025","broken","Mon Nov 03 09:05:05 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateUserRoles_WithoutAuth_Returns401"
"","42","testUpdateUserRoles_AddRoles_Returns200()","","Mon Nov 03 09:05:05 IST 2025","broken","Mon Nov 03 09:05:05 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateUserRoles_AddRoles_Returns200"
"","10069","testGetMe_ClaimsAreMappedCorrectly()","","Mon Nov 03 09:04:54 IST 2025","broken","Mon Nov 03 09:05:04 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testGetMe_ClaimsAreMappedCorrectly"
"","6","testFindAllActive_ReturnsOnlyActiveUsers()","","Mon Nov 03 09:05:10 IST 2025","broken","Mon Nov 03 09:05:10 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testFindAllActive_ReturnsOnlyActiveUsers"
"","2","testSearchUsers_ByEmail_ReturnsMatchingUsers()","","Mon Nov 03 09:05:09 IST 2025","broken","Mon Nov 03 09:05:09 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testSearchUsers_ByEmail_ReturnsMatchingUsers"
"","31","testUserWithRoles_AssociatesCorrectly()","","Mon Nov 03 09:05:09 IST 2025","broken","Mon Nov 03 09:05:09 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testUserWithRoles_AssociatesCorrectly"
"","8227","should display login page and allow clicking Sign In with Cognito","Login Flow","Mon Nov 03 09:08:31 IST 2025","passed","Mon Nov 03 09:08:39 IST 2025","","","",""
"","30","updateUserRoles_RemoveRole_Success()","","Mon Nov 03 09:05:21 IST 2025","passed","Mon Nov 03 09:05:21 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_RemoveRole_Success"
"","3","testSaveUser_Success()","","Mon Nov 03 09:05:09 IST 2025","broken","Mon Nov 03 09:05:09 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testSaveUser_Success"
"","40","logEvent_Continues_OnException()","","Mon Nov 03 09:05:12 IST 2025","passed","Mon Nov 03 09:05:13 IST 2025","","com.itcenter.auth.unit.AuditServiceTest","com.itcenter.auth.unit.AuditServiceTest","logEvent_Continues_OnException"
"","22","updateUserRoles_DuplicateRole_HandledGracefully()","","Mon Nov 03 09:05:22 IST 2025","failed","Mon Nov 03 09:05:22 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_DuplicateRole_HandledGracefully"
"","45","testUpdateMe_UpdatesProfileSuccessfully()","","Mon Nov 03 09:05:05 IST 2025","broken","Mon Nov 03 09:05:05 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateMe_UpdatesProfileSuccessfully"
"","20","updateUserRoles_NonexistentRole_ThrowsException()","","Mon Nov 03 09:05:22 IST 2025","passed","Mon Nov 03 09:05:22 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_NonexistentRole_ThrowsException"
"","2","testUpdateRole_Success()","","Mon Nov 03 09:05:10 IST 2025","broken","Mon Nov 03 09:05:10 IST 2025","","com.itcenter.auth.repository.RoleRepositoryTest","com.itcenter.auth.repository.RoleRepositoryTest","testUpdateRole_Success"
"","65","testUpdateUserRoles_RequiresAdminRole_Returns403()","","Mon Nov 03 09:05:05 IST 2025","broken","Mon Nov 03 09:05:05 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateUserRoles_RequiresAdminRole_Returns403"
"","11","testSearchUsers_ByDisplayName_ReturnsMatchingUsers()","","Mon Nov 03 09:05:09 IST 2025","broken","Mon Nov 03 09:05:09 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testSearchUsers_ByDisplayName_ReturnsMatchingUsers"
